Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
  16  17   H-C     0.96999 A  
  30  31   H-C     0.96999 A  
  44  45   H-C     0.96999 A  
  12  13   C-H     0.96999 A  
  43  45   H-C     0.97298 A  
  29  31   H-C     0.97298 A  
  15  17   H-C     0.97298 A  
  12  14   C-H     0.97298 A  
   8   9   C-H     0.98960 A  
  48  49   H-C     0.98960 A  
  34  35   H-C     0.98960 A  
  20  21   H-C     0.98960 A  
  19  21   H-C     0.99066 A  
   8  10   C-H     0.99066 A  
  33  35   H-C     0.99066 A  
  47  49   H-C     0.99066 A  
  50  54   O-N     1.21683 A  
   3   7   N-O     1.21683 A  
  22  26   O-N     1.21683 A  
  36  40   O-N     1.21683 A  
  23  24   N-O     1.21894 A  
   5   6   O-N     1.21894 A  
  51  52   N-O     1.21894 A  
  37  38   N-O     1.21894 A  
   2   3   O-N     1.22875 A  
  40  41   N-O     1.22875 A  
  54  55   N-O     1.22875 A  
  26  27   N-O     1.22875 A  
   6  11   N-O     1.23018 A  
  32  37   O-N     1.23018 A  
  46  51   O-N     1.23018 A  
  18  23   O-N     1.23018 A  
   4   6   N-N     1.36308 A  
  51  53   N-N     1.36308 A  
  37  39   N-N     1.36308 A  
  23  25   N-N     1.36308 A  
   1   3   N-N     1.37421 A  
  26  28   N-N     1.37421 A  
  40  42   N-N     1.37421 A  
  54  56   N-N     1.37421 A  
  49  56   C-N     1.43395 A  
  35  42   C-N     1.43395 A  
   1   8   N-C     1.43395 A  
  21  28   C-N     1.43395 A  
   1  12   N-C     1.45360 A  
  17  28   C-N     1.45360 A  
  31  42   C-N     1.45360 A  
  45  56   C-N     1.45360 A  
  12  39   C-N     1.45694 A  
   4  31   N-C     1.45694 A  
  17  53   C-N     1.45694 A  
  25  45   N-C     1.45694 A  
  21  25   C-N     1.47199 A  
  35  39   C-N     1.47199 A  
   4   8   N-C     1.47199 A  
  49  53   C-N     1.47199 A  
  15  16   H-H     1.57367 A  
  29  30   H-H     1.57367 A  
  43  44   H-H     1.57367 A  
  13  14   H-H     1.57367 A  
   9  10   H-H     1.60322 A  
  33  34   H-H     1.60322 A  
  19  20   H-H     1.60322 A  
  47  48   H-H     1.60322 A  
   4  29   N-H     1.97116 A  
  25  43   N-H     1.97116 A  
  14  39   H-N     1.97116 A  
  15  53   H-N     1.97116 A  
  44  56   H-N     1.98070 A  
   1  13   N-H     1.98070 A  
  30  42   H-N     1.98070 A  
  16  28   H-N     1.98070 A  
  48  56   H-N     1.99824 A  
   1   9   N-H     1.99824 A  
  20  28   H-N     1.99824 A  
  34  42   H-N     1.99824 A  
  47  56   H-N     1.99879 A  
  19  28   H-N     1.99879 A  
  33  42   H-N     1.99879 A  
   1  10   N-H     1.99879 A  
   4  30   N-H     2.00212 A  
  13  39   H-N     2.00212 A  
  16  53   H-N     2.00212 A  
  25  44   N-H     2.00212 A  
   4   9   N-H     2.03147 A  
  20  25   H-N     2.03147 A  
  34  39   H-N     2.03147 A  
  48  53   H-N     2.03147 A  
   4  10   N-H     2.03217 A  
  19  25   H-N     2.03217 A  
  47  53   H-N     2.03217 A  
  33  39   H-N     2.03217 A  
   1  14   N-H     2.03435 A  
  29  42   H-N     2.03435 A  
  43  56   H-N     2.03435 A  
  15  28   H-N     2.03435 A  
   5  11   O-O     2.17848 A  
  46  52   O-O     2.17848 A  
  18  24   O-O     2.17848 A  
  32  38   O-O     2.17848 A  
   2   7   O-O     2.18604 A  
  50  55   O-O     2.18604 A  
  22  27   O-O     2.18604 A  
  36  41   O-O     2.18604 A  
  18  25   O-N     2.19286 A  
   4  11   N-O     2.19286 A  
  46  53   O-N     2.19286 A  
  32  39   O-N     2.19286 A  
   5  29   O-H     2.19434 A  
  14  38   H-O     2.19434 A  
