Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
  15  17   H-C     0.96930 A  
  29  31   H-C     0.96930 A  
  43  45   H-C     0.96930 A  
  12  14   C-H     0.96930 A  
  12  13   C-H     0.97030 A  
  30  31   H-C     0.97030 A  
  44  45   H-C     0.97030 A  
  16  17   H-C     0.97030 A  
   8   9   C-H     0.97948 A  
  34  35   H-C     0.97948 A  
  20  21   H-C     0.97948 A  
  48  49   H-C     0.97948 A  
  19  21   H-C     0.98030 A  
  47  49   H-C     0.98030 A  
  33  35   H-C     0.98030 A  
   8  10   C-H     0.98030 A  
   3   7   N-O     1.22019 A  
  36  40   O-N     1.22019 A  
  22  26   O-N     1.22019 A  
  50  54   O-N     1.22019 A  
  37  38   N-O     1.22160 A  
  23  24   N-O     1.22160 A  
  51  52   N-O     1.22160 A  
   5   6   O-N     1.22160 A  
  26  27   N-O     1.23108 A  
  40  41   N-O     1.23108 A  
   2   3   O-N     1.23108 A  
  54  55   N-O     1.23108 A  
   6  11   N-O     1.23368 A  
  18  23   O-N     1.23368 A  
  32  37   O-N     1.23368 A  
  46  51   O-N     1.23368 A  
   4   6   N-N     1.36435 A  
  37  39   N-N     1.36435 A  
  51  53   N-N     1.36435 A  
  23  25   N-N     1.36435 A  
  26  28   N-N     1.37235 A  
  40  42   N-N     1.37235 A  
  54  56   N-N     1.37235 A  
   1   3   N-N     1.37235 A  
  21  28   C-N     1.43563 A  
  49  56   C-N     1.43563 A  
   1   8   N-C     1.43563 A  
  35  42   C-N     1.43563 A  
  45  56   C-N     1.45325 A  
   1  12   N-C     1.45325 A  
  17  28   C-N     1.45325 A  
  31  42   C-N     1.45325 A  
   4  31   N-C     1.45673 A  
  12  39   C-N     1.45673 A  
  17  53   C-N     1.45673 A  
  25  45   N-C     1.45673 A  
   4   8   N-C     1.47375 A  
  21  25   C-N     1.47375 A  
  35  39   C-N     1.47375 A  
  49  53   C-N     1.47375 A  
  29  30   H-H     1.56938 A  
  13  14   H-H     1.56938 A  
  15  16   H-H     1.56938 A  
  43  44   H-H     1.56938 A  
  19  20   H-H     1.58775 A  
  33  34   H-H     1.58775 A  
   9  10   H-H     1.58775 A  
  47  48   H-H     1.58775 A  
   4  29   N-H     1.97432 A  
  14  39   H-N     1.97432 A  
  15  53   H-N     1.97432 A  
  25  43   N-H     1.97432 A  
  44  56   H-N     1.98386 A  
   1  13   N-H     1.98386 A  
  30  42   H-N     1.98386 A  
  16  28   H-N     1.98386 A  
   1   9   N-H     1.99222 A  
  20  28   H-N     1.99222 A  
  34  42   H-N     1.99222 A  
  48  56   H-N     1.99222 A  
  19  28   H-N     1.99242 A  
  33  42   H-N     1.99242 A  
  47  56   H-N     1.99242 A  
   1  10   N-H     1.99242 A  
   4  30   N-H     1.99787 A  
  13  39   H-N     1.99787 A  
  16  53   H-N     1.99787 A  
  25  44   N-H     1.99787 A  
  20  25   H-N     2.02559 A  
   4   9   N-H     2.02559 A  
  34  39   H-N     2.02559 A  
  48  53   H-N     2.02559 A  
  33  39   H-N     2.02638 A  
  19  25   H-N     2.02638 A  
  47  53   H-N     2.02638 A  
   4  10   N-H     2.02638 A  
  15  28   H-N     2.02870 A  
  43  56   H-N     2.02870 A  
   1  14   N-H     2.02870 A  
  29  42   H-N     2.02870 A  
   5  11   O-O     2.18161 A  
  18  24   O-O     2.18161 A  
  32  38   O-O     2.18161 A  
  46  52   O-O     2.18161 A  
  22  27   O-O     2.18966 A  
  36  41   O-O     2.18966 A  
   2   7   O-O     2.18966 A  
  50  55   O-O     2.18966 A  
  18  25   O-N     2.19895 A  
  32  39   O-N     2.19895 A  
   4  11   N-O     2.19895 A  
  46  53   O-N     2.19895 A  
  24  43   O-H     2.20717 A  
   5  29   O-H     2.20717 A  
  15  52   H-O     2.20717 A  
  14  38   H-O     2.20717 A  
  36  42   O-N     2.21132 A  
  22  28   O-N     2.21132 A  
   1   7   N-O     2.21132 A  
  50  56   O-N     2.21132 A  
  27  28   O-N     2.21423 A  
  55  56   O-N     2.21423 A  
  41  42   O-N     2.21423 A  
   1   2   N-O     2.21423 A  
  38  39   O-N     2.22943 A  
   4   5   N-O     2.22943 A  
  24  25   O-N     2.22943 A  
  52  53   O-N     2.22943 A  
  44  48   H-H     2.25283 A  
   9  13   H-H     2.25283 A  
  16  20   H-H     2.25283 A  
  30  34   H-H     2.25283 A  
   7  10   O-H     2.34256 A  
  33  36   H-O     2.34256 A  
  19  22   H-O     2.34256 A  
  47  50   H-O     2.34256 A  
  25  28   N-N     2.38119 A  
  39  42   N-N     2.38119 A  
